SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
040,34,000,00000,00000,00000,0,A,New Jersey,New Jersey,8791894,8791962,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520
162,34,000,00100,00000,00000,0,A,Absecon city,New Jersey,8411,8502,8500,8491,8467,8441,8378,8292,8200,8173,8442
162,34,000,00700,00000,00000,0,A,Allendale borough,New Jersey,6505,6505,6515,6585,6626,6687,6713,6738,6779,6799,6792
162,34,000,00730,00000,00000,0,A,Allenhurst borough,New Jersey,496,495,495,494,494,493,491,487,486,486,485
162,34,000,00760,00000,00000,0,A,Allentown borough,New Jersey,1828,1824,1823,1829,1822,1818,1810,1809,1804,1799,1788
162,34,000,01030,00000,00000,0,A,Alpha borough,New Jersey,2369,2369,2364,2350,2330,2312,2310,2302,2285,2277,2273
162,34,000,01090,00000,00000,0,A,Alpine borough,New Jersey,1849,1818,1820,1831,1856,1861,1850,1852,1849,1862,1860
162,34,000,01330,00000,00000,0,A,Andover borough,New Jersey,606,601,601,597,591,585,580,573,568,565,563
162,34,000,01960,00000,00000,0,A,Asbury Park city,New Jersey,16116,16114,16118,16004,15930,15906,15829,15713,15678,15667,15511
162,34,000,02080,00000,00000,0,A,Atlantic City city,New Jersey,39558,39558,39541,39489,39396,39470,39184,38726,38294,37919,37804
162,34,000,02110,00000,00000,0,A,Atlantic Highlands borough,New Jersey,4385,4381,4378,4366,4352,4340,4315,4282,4282,4285,4316
162,34,000,02200,00000,00000,0,A,Audubon borough,New Jersey,8819,8819,8812,8794,8766,8717,8685,8675,8673,8656,8659
162,34,000,02230,00000,00000,0,A,Audubon Park borough,New Jersey,1023,1023,1022,1020,1017,1011,1007,1005,1005,1004,1004
162,34,000,02320,00000,00000,0,A,Avalon borough,New Jersey,1334,1334,1335,1322,1316,1302,1288,1276,1269,1262,1247
162,34,000,02440,00000,00000,0,A,Avon-by-the-Sea borough,New Jersey,1901,1900,1899,1917,1915,1905,1791,1781,1786,1782,1780
162,34,000,03130,00000,00000,0,A,Barnegat Light borough,New Jersey,574,586,586,583,583,580,583,586,582,585,588
162,34,000,03250,00000,00000,0,A,Barrington borough,New Jersey,6983,6961,6954,6906,6861,6806,6775,6755,6745,6716,6683
162,34,000,03520,00000,00000,0,A,Bay Head borough,New Jersey,968,971,971,973,968,967,972,973,972,974,977
162,34,000,03580,00000,00000,0,A,Bayonne city,New Jersey,63024,63015,63052,63946,64263,64754,65397,65317,65351,65347,65083
162,34,000,03940,00000,00000,0,A,Beach Haven borough,New Jersey,1170,1170,1172,1170,1167,1164,1165,1166,1170,1177,1191
162,34,000,04180,00000,00000,0,A,Beachwood borough,New Jersey,11045,11042,11052,11056,11022,11086,11172,11180,11168,11201,11270
162,34,000,04750,00000,00000,0,A,Bellmawr borough,New Jersey,11583,11604,11602,11585,11549,11482,11433,11411,11415,11395,11374
162,34,000,04930,00000,00000,0,A,Belmar borough,New Jersey,5794,5786,5791,5766,5746,5720,5683,5666,5666,5645,5587
162,34,000,04990,00000,00000,0,A,Belvidere town,New Jersey,2681,2684,2678,2660,2640,2620,2617,2608,2589,2581,2576
162,34,000,05170,00000,00000,0,A,Bergenfield borough,New Jersey,26764,26821,26850,27019,27180,27255,27290,27336,27327,27469,27479
162,34,000,05440,00000,00000,0,A,Berlin borough,New Jersey,7588,7598,7638,7640,7638,7599,7573,7553,7558,7548,7554
162,34,000,05590,00000,00000,0,A,Bernardsville borough,New Jersey,7707,7726,7735,7740,7741,7727,7715,7703,7712,7697,7686
162,34,000,05740,00000,00000,0,A,Beverly city,New Jersey,2577,2546,2547,2544,2550,2535,2528,2513,2496,2485,2484
162,34,000,06340,00000,00000,0,A,Bloomingdale borough,New Jersey,7656,7662,7666,7704,7698,7699,8126,8121,8105,8090,8072
162,34,000,06370,00000,00000,0,A,Bloomsbury borough,New Jersey,870,874,873,868,862,859,855,851,845,843,840
162,34,000,06490,00000,00000,0,A,Bogota borough,New Jersey,8187,8178,8188,8236,8231,8254,8266,8287,8408,8427,8413
162,34,000,06610,00000,00000,0,A,Boonton town,New Jersey,8347,8338,8348,8377,8393,8380,8352,8344,8308,8261,8212
162,34,000,06670,00000,00000,0,A,Bordentown city,New Jersey,3924,3917,3921,3911,3913,3890,3881,3852,3831,3813,3801
162,34,000,06790,00000,00000,0,A,Bound Brook borough,New Jersey,10402,10421,10433,10459,10477,10464,10426,10375,10333,10312,10289
162,34,000,06970,00000,00000,0,A,Bradley Beach borough,New Jersey,4298,4299,4303,4298,4287,4278,4262,4241,4231,4198,4174
162,34,000,07300,00000,00000,0,A,Branchville borough,New Jersey,841,830,829,824,816,808,799,787,783,779,776
162,34,000,07600,00000,00000,0,A,Bridgeton city,New Jersey,25349,25414,25353,25276,25259,25197,25294,25025,24905,24564,24442
